event_name,qmeter_name,start_line,end_line,direction,start_polarization,end_polarization,swing,max_polarization,monotonicity_fraction,accepted
2005-03-21_13h28m43s,Top Proton,15,438,1,-0.1146425,58.65941,58.7740525,58.65941,0.6006600660066007,N
2005-03-21_13h28m43s,Top Proton,438,539,-1,58.65941,-13.58174,-72.24115,58.65941,0.975,N
2005-07-13_17h27m29s,Top Proton,1341,1497,-1,-0.6977667,-37.66117,-36.963403299999996,-37.66117,0.9391891891891891,N
2005-07-13_17h27m29s,Top Proton,1497,1569,1,-37.66117,30.09658,67.75775,-37.66117,1.0,N
2005-07-13_17h27m29s,Top Proton,1572,1640,1,23.8289,37.28476,13.455859999999998,37.28476,0.9264705882352942,N
2005-07-15_17h43m55s,Top Proton,284,290,1,12.41851,25.9967,13.578190000000001,25.9967,1.0,N
2005-07-15_17h43m55s,Top Proton,290,305,-1,25.9967,2.27981,-23.71689,25.9967,0.9333333333333333,N
2005-07-15_17h43m55s,Top Proton,305,534,1,2.27981,65.34335,63.06354,65.34335,0.9047619047619048,N
2005-07-15_17h43m55s,Top Proton,534,696,-1,65.34335,-49.41176,-114.75511,65.34335,0.9567901234567902,N
2005-07-15_17h43m55s,Top Proton,782,893,1,-52.82636,0.4752972,53.3016572,-52.82636,0.7777777777777778,N
2005-07-15_17h43m55s,Top Proton,893,1040,-1,0.4752972,-27.72934,-28.2046372,-27.72934,0.7951807228915663,N
2005-07-15_17h43m55s,Top Proton,1040,1057,1,-27.72934,34.29359,62.02293,34.29359,1.0,N
2005-07-15_17h43m55s,Top Proton,1060,1124,1,22.28851,45.93506,23.64655,45.93506,0.75,N
2005-07-15_17h43m55s,Top Proton,1124,2214,-1,45.93506,6.784066,-39.150994,45.93506,0.5769230769230769,N
2005-07-15_17h43m55s,Top Proton,2214,2279,1,6.784066,47.18635,40.402283999999995,47.18635,0.9076923076923077,N
2005-07-15_17h43m55s,Top Proton,2279,2459,-1,47.18635,-53.99495,-101.1813,-54.19119,0.8722222222222222,N
2005-07-18_14h32m22s,Top Proton,2925,3175,-1,0.3118698,-80.07022,-80.3820898,-80.07022,0.884,N
2005-07-18_14h32m22s,Top Proton,3175,3535,1,-80.07022,70.36825,150.43847,-80.07022,0.9,N
2005-07-25_11h07m31s,Top Proton,116,378,1,0.9136808,27.508,26.594319199999997,27.508,0.8664122137404581,N
2005-07-25_11h07m31s,Top Proton,378,1696,-1,27.508,-15.11075,-42.61875,27.508,0.8620689655172413,N
2005-07-25_11h07m31s,Top Proton,1696,1907,1,-15.11075,15.63475,30.7455,15.63475,0.875,N
2005-07-25_11h07m31s,Top Proton,1907,2023,-1,15.63475,-13.99335,-29.6281,15.63475,0.9913793103448276,N
2005-07-25_11h07m31s,Top Proton,2023,2485,1,-13.99335,26.60627,40.59962,26.60627,0.7704918032786885,N
2005-07-25_11h07m31s,Top Proton,2485,2536,-1,26.60627,-18.70256,-45.30883,26.60627,0.88,N
2005-07-25_11h07m31s,Top Proton,2538,2600,-1,-1.044423,-19.47474,-18.430317000000002,-19.47474,0.868421052631579,N
2005-07-25_11h07m31s,Top Proton,2600,3789,1,-19.47474,0.4320699,19.9068099,-19.47474,0.8333333333333334,N
2005-07-25_11h07m31s,Top Proton,3789,4185,-1,0.4320699,-17.35856,-17.7906299,-17.35856,0.8409090909090909,N
2005-07-25_11h07m31s,Top Proton,4185,4427,1,-17.35856,38.01516,55.373720000000006,38.01516,0.8764044943820225,N
2005-07-26_16h04m57s,Top Proton,580,745,-1,-1.024376,-20.19928,-19.174904,-20.19928,1.0,N
